name,Latitude,Longitude
Monterey Heights,37.73249000000004,-122.46109999999999
Westwood Highlands,37.73318000000006,-122.45449999999994
Westwood Park,37.72813000000008,-122.45815999999996
Miraloma Park,37.737160000000074,-122.45470999999998
McLaren Park,37.78627400973526,-122.48924712035911
Sunnydale,37.71225066193566,-122.41730399854619
Visitacion Valley,37.71307000000007,-122.40930999999995
India Basin,37.73604000000006,-122.37052999999997
Northern Waterfront,38.04443618094825,-122.03471365123366
Hunters Point,37.73431000000005,-122.37942999999996
Candlestick Point SRA,37.71299000000005,-122.38524999999998
Cayuga,37.72306229888043,-122.439146322028
Oceanview,37.71446000000003,-122.45904999999999
Apparel City,37.785180000000025,-122.42919999999998
Bernal Heights,37.73903000000007,-122.41620999999998
Noe Valley,37.75160000000005,-122.42907999999994
Produce Market,37.719400000000064,-122.43844999999999
Bayview,37.73345000000006,-122.38997999999998
Silver Terrace,37.735100000000045,-122.40125999999998
Bret Harte,37.80457206286879,-122.41758802553937
Little Hollywood,37.70993000000004,-122.39829999999995
Excelsior,37.72104000000007,-122.43159999999995
Portola,37.72810000000004,-122.41199999999998
University Mound,37.724594242641494,-122.41326748086037
St. Marys Park,37.73445690525284,-122.42726993265553
Mission Terrace,37.725730000000055,-122.43917999999996
Sunnyside,37.730290000000025,-122.44886999999994
Glen Park,37.738410000000044,-122.43098999999995
Western Addition,37.780950000000075,-122.43221999999997
Aquatic Park / Ft. Mason,37.80524639899193,-122.42840012726494
Fishermans Wharf,37.81021000000004,-122.41802999999999
Cathedral Hill,37.96586539774402,-121.72244718758742
Japantown,37.785420000000045,-122.42971999999997
Pacific Heights,37.79291000000006,-122.43463999999994
Lower Pacific Heights,37.78693000000004,-122.43427999999994
Chinatown,37.795390000000054,-122.40811999999994
Polk Gulch,37.794649264008825,-122.4214986206577
North Beach,37.799090000000035,-122.40844999999996
Russian Hill,37.80203000000006,-122.41962999999998
Financial District,37.795780000000036,-122.40047999999996
Inner Sunset,37.762110000000064,-122.46885999999995
Parnassus Heights,37.76458529846616,-122.45183953837716
Forest Knolls,37.75407000000007,-122.46074999999996
Buena Vista,37.76716243452217,-122.43818712238223
Corona Heights,37.763640000000066,-122.44038999999998
Ashbury Heights,37.76467000000008,-122.44586999999996
Eureka Valley,37.75750108074162,-122.43794110484829
St. Francis Wood,37.734650000000045,-122.46802999999994
Sherwood Forest,37.73751000000004,-122.46005999999994
